,estimator,mean_score,max_score,decay,epochs,lr
10,ffNN,0.7462450623512268,0.8181818127632141,0.001,40,0.005
1,ffNN,0.7458498001098632,0.8260869383811951,0,35,0.01
12,ffNN,0.7458498001098632,0.8260869383811951,0.001,45,0.005
5,ffNN,0.7375494122505188,0.8181818127632141,0,45,0.01
7,ffNN,0.7371541500091553,0.782608687877655,0,80,0.01
14,ffNN,0.7371541380882263,0.8260869383811951,0.001,80,0.005
13,ffNN,0.7363636374473572,0.9130434989929199,0.001,45,0.01
6,ffNN,0.7363636255264282,0.8695651888847351,0,80,0.005
9,ffNN,0.7284584879875183,0.8260869383811951,0.001,35,0.01
0,ffNN,0.7280632495880127,0.782608687877655,0,35,0.005
8,ffNN,0.7276679873466492,0.8695651888847351,0.001,35,0.005
4,ffNN,0.7118577122688293,0.8636363744735718,0,45,0.005
3,ffNN,0.7110671877861023,0.782608687877655,0,40,0.01
15,ffNN,0.7102766752243042,0.8260869383811951,0.001,80,0.01
11,ffNN,0.7027667999267578,0.8181818127632141,0.001,40,0.01
2,ffNN,0.6928853750228882,0.782608687877655,0,40,0.005
